path,label,split,sha256,source
data/processed/eurosat/train/AnnualCrop/AnnualCrop_1.tif.jpg,AnnualCrop,train,5d8b3ca808f835e3971c4bb96e83c77dcb6682a7d653d3c5dcd69b7904e33e39,EuroSAT_RGB/train
data/processed/eurosat/train/AnnualCrop/AnnualCrop_10.tif.jpg,AnnualCrop,train,cd1946c77afd22efb4b3e9325419036f11aff53c5ccf34f4388c6c9e6e1947af,EuroSAT_RGB/train
data/processed/eurosat/train/AnnualCrop/AnnualCrop_100.tif.jpg,AnnualCrop,train,afa073188a6ba3c94962aee8b059a71d0ad95b2f596fe0f98797d45d6eeb977a,EuroSAT_RGB/train
data/processed/eurosat/train/AnnualCrop/AnnualCrop_1000.tif.jpg,AnnualCrop,train,8ab036ba70bb4902b9ead16872665393e4db8c02a9f001606fae11298d2a2cc1,EuroSAT_RGB/train
data/processed/eurosat/train/AnnualCrop/AnnualCrop_1001.tif.jpg,AnnualCrop,train,13318b5a70d66c41d492c1177a3c1a1ec6fa0f31f5b3f504ecdfe80b7806bc05,EuroSAT_RGB/train
data/processed/eurosat/train/AnnualCrop/AnnualCrop_1004.tif.jpg,AnnualCrop,train,cac8cdddaa60141386857607841b8f6dfe2f39710fa9ad2fb21806092f36fcd1,EuroSAT_RGB/train
data/processed/eurosat/train/AnnualCrop/AnnualCrop_1005.tif.jpg,AnnualCrop,train,a543b15b4e29a20f4982a31127717c9a50f25946ea5dbe668be99d20c0f94f00,EuroSAT_RGB/train
data/processed/eurosat/train/AnnualCrop/AnnualCrop_1006.tif.jpg,AnnualCrop,train,f1890c71f73461bcb727d3db35c27bf1bb5b6b4616c504db313e20b1a9e31e78,EuroSAT_RGB/train
data/processed/eurosat/train/AnnualCrop/AnnualCrop_1009.tif.jpg,AnnualCrop,train,f560895de8447fc774a0e5ba20e53dc20bf6556ba2fba89669bd3cf0f705381e,EuroSAT_RGB/train
data/processed/eurosat/train/AnnualCrop/AnnualCrop_1010.tif.jpg,AnnualCrop,train,9c9dc5937a5c59df9c32792b7ffa5124d84f6ae8ff04ef4469e9fa2b5b522401,EuroSAT_RGB/train
data/processed/eurosat/train/AnnualCrop/AnnualCrop_1011.tif.jpg,AnnualCrop,train,2fc19bbcd7f7f2728bf92d711554ab0a9402238f5a20c76d11553fddc2879c59,EuroSAT_RGB/train
data/processed/eurosat/train/AnnualCrop/AnnualCrop_1013.tif.jpg,AnnualCrop,train,95e71220fb4d024cd240ca01f16f32531bdc7af037c58750b327a894019fee26,EuroSAT_RGB/train
data/processed/eurosat/train/AnnualCrop/AnnualCrop_1016.tif.jpg,AnnualCrop,train,010a280f5231376f38baff91b5b918c0b8c34ebb55b6ca1bc8c5a7285c783246,EuroSAT_RGB/train
data/processed/eurosat/train/AnnualCrop/AnnualCrop_1018.tif.jpg,AnnualCrop,train,f44545ad60b52ffe731ee7dc6c09a508a58d81a262aad1207d628f9847b4390e,EuroSAT_RGB/train
data/processed/eurosat/train/AnnualCrop/AnnualCrop_1019.tif.jpg,AnnualCrop,train,0309b6fd63d4c561e14c9092dc88057703a3e0355e224a16fc828bde9f7bab66,EuroSAT_RGB/train
data/processed/eurosat/train/AnnualCrop/AnnualCrop_1020.tif.jpg,AnnualCrop,train,6112d33bb23358f646a5269f497160448973e8156ed7a7f21ead59f57e96d2d9,EuroSAT_RGB/train
